Material_ID,C,Mn,Si,Cr,Ni,Mo,V,N,Nb,Co,W,Al,Ti,Heat treatment/C,YS/MPa,UTS/MPa,Elong/%
93,0,0.05,0.05,0.01,18.1,3.6,0.01,0,0.01,13,0,0.11,2.25,0,2521.7,2590.6,6
94,0,0.05,0.05,0.01,18.1,3.6,0.01,0,0.01,13,0,0.11,2.25,760,2514.9,2583.8,2
95,0,0.05,0.05,0.01,18.1,3.6,0.01,0,0.01,13,0,0.11,2.25,816,2466.6,2535.5,3
96,0.01,0.05,0.05,0.01,19.4,1.45,0.01,0,0.01,14.9,0,0.13,1.55,816,2249.6,2315,8.5
97,0.01,0.05,0.05,0.01,14.7,1.5,0.01,0,0.01,15.3,0,0.76,1.16,816,2157.3,2239.3,8.5
98,0.03,0.05,0.17,0.01,16.4,0.02,4,0,0.01,6.9,0,0.1,0.14,816,1536.5,1536.5,
99,0.18,0.11,0.09,0.01,17.8,0.02,4.32,0,0.01,8.06,0,0.11,0.08,816,1605.4,1639.8,13
100,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1274.7,1333.2,15
101,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1296.7,1357.3,14.4
102,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1295.3,1357.3,14
103,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1274.7,1336.7,15
104,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1113.4,,17.5
105,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,,1190.6,17.5
106,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1384.9,1489.6,13.8
107,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1367,1493.8,14.4
108,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1416.6,1554.4,13.8
109,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1403.5,1547.5,12
110,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1399.4,1546.1,10
111,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1400,1548.9,13.1
112,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1389.7,1542.7,13.1
113,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,927,1389,1546.1,13.1
114,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1304.3,1466.2,16.2
115,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1311.9,,
116,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1320.8,1493.1,14
117,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1295.3,1471.7,14.4
118,0.04,0.01,0.02,12.52,8.63,2.1,0.01,0,0.01,0.01,0,1,0,996,1285,1484.1,15.6
119,0.02,0.01,1.93,13.9,6,0.02,0.01,0,0.01,6,0,0.03,0.05,1038,,1212.6,14
120,0.02,0.01,1.82,13.9,5.1,0.02,0.01,0,0.01,8.9,0,0.02,0.04,1038,1226.4,1329.8,17
121,0.02,0.01,1.86,15.9,4,0.02,0.01,0,0.01,9.2,0,0.02,0.05,1038,1143.7,1350.4,17
122,0.01,0.01,1.93,15.6,4.1,0.02,0.01,0,0.01,10.5,0,0.03,0.06,1038,1185.1,1453.8,18
123,0.01,0.01,1.72,15.7,4.1,0.02,0.01,0,0.01,7.4,0,0.02,0.04,1038,1205.8,1281.5,16
124,0.02,0.01,1.92,15.5,3.9,0.02,0.01,0,0.01,6,0,0.04,0.07,1038,,1178.2,
125,0.01,0.01,1.99,17.5,2.1,0.02,0.01,0,0.01,11.8,0,0.03,0.05,1038,1088.6,1419.3,10
126,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,899,1666,1838.3,12
127,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,899,1658.4,1762.5,16
128,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,816,1672.9,1852,13.3
129,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,1625.4,1805.2,15.5
130,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,899,1618.5,1752.1,15.4
131,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,899,1553.7,1667.4,15.5
132,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,1434.5,1502,16
133,0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,816,1451.7,1503.4,16.5
134,0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,816,1415.2,1502.7,16.5
135,0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,816,1512.4,1649.5,13
136,0.12,0.18,0.06,2.01,10.07,1,0.01,0,0.01,12.1,0,0.01,0,816,1473.8,1643.3,15.5
137,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1555.8,1646.7,16
138,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1529.6,1639.8,16
139,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,899,1553.7,1670.8,15.8
140,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1575.7,1714.9,16.5
141,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1639.8,1786.6,13
142,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1635,1803.1,15
143,0.16,0.16,0.05,1.97,10.05,1,0.01,0,0.01,13.88,0,0.01,0,816,1626.7,1799,
144,0.15,0.16,0.06,2.01,10.08,1.22,0.01,0,0.01,12.15,0,0.01,0,816,1513.7,1651.5,16
145,0.15,0.16,0.06,2.01,10.08,1.22,0.01,0,0.01,12.15,0,0.01,0,816,1493.1,1632.9,16
146,0.15,0.16,0.05,2.97,10.06,1,0.01,0,0.01,12.05,0,0.01,0,816,1406.9,1481.4,16.5
147,0.15,0.16,0.05,2.97,10.06,1,0.01,0,0.01,12.05,0,0.01,0,816,1399.4,1479.3,18
148,0.15,0.16,0.05,2.97,10.06,1,0.01,0,0.01,12.05,0,0.01,0,816,1559.9,1742.5,15.5
149,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,,1512.4,16
150,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,1515.8,1606.7,15
151,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,1593.7,1730.8,13
152,0.17,0.16,0.05,2.97,10.02,1.21,0.01,0,0.01,13.74,0,0.01,0,816,1657.7,1826.5,11
153,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,816,1557.1,1646.7,14.7
154,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,816,1584.7,1688.1,14
155,0.16,0.06,0.04,1.95,10.15,0.98,0.01,0,0.01,13.8,0,0.01,0.01,816,1688.1,1863.1,13.8
156,0.24,0.01,0.01,9.1,2.8,1.3,0.37,0,0.01,12.4,0,0.03,0.03,1025,1612.3,1936.1,15
157,0.24,0.01,0.01,9,2.8,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1025,1570.9,,16
158,0.24,0.01,0.01,9,2.8,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1025,,1922.3,16
159,0.24,0.01,0.01,9.1,2.8,1.3,0.37,0,0.01,12.4,0,0.03,0.03,1025,1619.2,1984.3,16
160,0.18,0.01,0.01,9.1,2.8,1.3,0.29,0,0.01,12.5,0,0.03,0.03,1025,1357.3,1784.5,14
161,0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1025,1522.7,2046.3,12.5
162,0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1025,1536.5,1998.1,13
163,0.35,0.01,0.01,9,1.5,2,0.3,0,0.01,18,0,0.03,0.02,1050,1722.5,1798.3,
164,0.35,0.01,0.01,9,1.5,2,0.3,0,0.01,18,0,0.03,0.02,1050,1736.3,,
165,0.35,0.01,0.01,9,1.5,2,0.3,0,0.01,18,0,0.03,0.02,1050,1736.3,2508,
166,0.15,0.01,0.01,9,4.8,1.5,0.5,0,0.01,13,0,0.03,0.02,1025,1412.5,1688.1,10
167,0.18,0.01,0.01,9.1,2.8,1.3,0.29,0,0.01,12.5,0,0.03,0.03,1025,1433.1,1819,17
168,0.18,0.01,0.01,9.1,2.8,1.3,0.29,0,0.01,12.5,0,0.03,0.03,1025,1488.2,1798.3,17
169,0.11,0.01,0.01,9.2,3.7,2,0.5,0,0.01,16.7,0,0.03,0.03,1100,1453.8,1701.8,17
170,0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1025,1467.6,2018.8,17
171,0.23,0.01,0.01,9,2.8,1.3,0.3,0,0.01,12.5,0,0.03,0.03,1025,1564,2032.6,15
172,0.2,0.01,0.01,8.2,2.1,1.3,0.29,0,0.01,12.4,0,0.03,0.02,1025,,1777.6,11
173,0.19,0.01,0.01,6.8,2.8,2.4,0.28,0,0.01,14.2,1.3,0.03,0.02,1025,,,13
174,0.21,0.01,0.6,8.2,2.6,1.3,0.29,0,0.01,14.2,0,0.03,0.02,1025,1391.8,1839.6,11
175,0.24,0.01,0.01,8.9,5.1,1.7,0.29,0,0.01,13,0,0.03,0.03,1025,1405.6,1825.9,16
176,0.24,0.01,0.01,8.9,5.1,1.7,0.29,0,0.01,13,0,0.03,0.03,1025,1453.8,,15
177,0.25,0.01,0.01,9,6.2,1.3,0.29,0,0.01,12.2,0,0.03,0.03,1025,1405.6,1798.3,16
178,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0,0.01,15.3,0.5,0.03,0.03,1025,1605.4,2025.7,14
179,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0,0.01,15.3,0.5,0.03,0.03,1025,1550.3,2067,14
180,0.22,0.01,0.01,8.5,4.6,1.5,0.28,0,0.01,15.3,0.5,0.03,0.03,1025,,1901.6,16
181,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0,0.01,13,0,0.03,0.03,1025,1543.4,1791.4,16
182,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0,0.01,13,0,0.03,0.03,1025,1605.4,2005,13
183,0.24,0.01,0.01,8.9,7.4,1.7,0.28,0,0.01,13,0,0.03,0.03,1025,1502,2025.7,14
184,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0,0.01,13,0,0.03,0.02,1025,1157.5,1694.9,15
185,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0,0.01,13,0,0.03,0.02,1025,1157.5,1825.9,14
186,0.24,0.01,0.01,8.9,8.7,1.5,0.28,0,0.01,13,0,0.03,0.02,1025,1612.3,1750.1,14
187,0.01,0.01,0.01,0.01,18.1,1,0.01,0,0.01,0.01,0,0.08,1.8,816,1736.3,1839.6,9
188,0.01,0.01,0.01,0.01,17.1,2,0.01,0,0.01,0.01,0,0.07,1.82,816,1874.1,1970.5,10
189,0.01,0.01,0.01,0.01,17.5,2.1,2,0,0.01,0.01,0,0.12,2,816,1998.1,2087.7,10
190,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.11,2.5,816,,2129,5
191,0.01,0.01,0.01,0.01,21,2.1,0.01,0,0.01,0.01,0,0.13,1.9,816,1660.5,1887.9,6
192,0.02,0.01,0.01,0.01,17.8,0.64,0.01,0,0.01,0.01,0,0.08,2.03,816,1729.4,1853.4,10
193,0.01,0.01,0.01,0.01,17.4,1.44,0.01,0,0.01,0.01,0,0.08,1.9,816,1391.8,1639.8,12
194,0,0.01,0.01,0.01,18.1,3.1,0.01,0,0.01,0.01,0,0.05,1.4,816,1715.6,1894.8,13
195,0.02,0.01,0.01,0.01,17.9,3.1,0.9,0,0.01,0.01,0,0.07,1.4,816,1729.4,1819,10
196,0.01,0.01,0.01,0.01,17.8,3.1,1,0,0.01,0.01,0.33,0.05,1.1,816,1688.1,1750.1,12
197,0.02,0.01,0.01,0.01,17.5,0.02,1.9,0,0.01,0.01,0,0.09,2.06,816,,1943,
198,0.03,0.01,0.01,0.01,17.3,0.02,1.8,0,2.5,0.01,0,0.1,1.07,816,1729.4,1770.7,8
199,0.02,0.01,0.01,0.01,15.3,1.4,0.01,0,0.01,0.01,0,0.12,2.1,816,1791.4,1915.4,4
200,0.02,0.01,0.01,0.01,17.9,0.3,0.01,0,0.01,0.01,0,0.1,1.95,816,1674.3,1777.6,9
201,0.02,0.01,0.01,0.01,15.7,2,0.01,0,0.01,0.01,0,0.1,1.98,816,1722.5,1846.5,10
202,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,816,1692.9,1764.5,13
203,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0,0.01,0.01,0,0.09,1.41,816,1593.7,1655.7,11
204,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,816,1524.8,1581.3,13
205,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,816,1600.5,1675.6,12
206,0.01,0.02,0.01,0.01,18.2,3.06,0.01,0,0.01,0.01,0,0.09,1.26,816,,1659.1,12
207,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0,0.01,0.01,0,0.09,1.41,816,1684.6,1754.2,10
208,0.01,0.03,0.01,0.01,18.11,3.07,0.01,0,0.01,0.01,0,0.09,1.41,816,1645.3,1719.7,11
209,0.22,0.01,0.01,3.03,11.17,1.18,0.01,0,0.01,13.89,0,0.03,0.01,843,1810,1970,12.2
210,0.03,0.01,0.01,10.7,9.46,2.45,0.01,0,0.01,0.01,0,0.46,0.28,830,1309,1370,12.8
211,0.03,0.01,0.01,11.2,9.61,0.02,0.01,0,0.01,0.01,4,0.39,0.26,830,1313,1378,13.4
212,0.03,0.01,0.01,11.3,8.64,0.02,0.01,0,0.01,0.01,1.84,0.39,0.27,830,1311,1375,14.4
213,0.03,0.01,0.01,10.7,10.3,0.02,0.01,0,0.01,0.01,0,0.21,0.31,830,1052,1136,14.6
214,0.03,0.01,0.01,10.7,10.3,0.02,0.01,0,0.01,0.01,0,0.21,0.31,830,1198,1299,16.3
215,0.03,0.01,0.01,11.3,8.64,0.02,0.01,0,0.01,0.01,1.84,0.39,0.27,830,1077,1143,7.1
216,0.03,0.01,0.01,11.2,9.61,0.02,0.01,0,0.01,0.01,4,0.39,0.26,830,1085,1155,
217,0.03,0.01,0.01,10.7,9.46,2.45,0.01,0,0.01,0.01,0,0.46,0.28,830,1055,1139,7.4
218,0.03,0.01,0.01,0.01,18.5,0.02,0.01,0,0.01,0.01,3,0.1,1.4,830,1600,1650,8
219,0.03,0.01,0.01,0.01,18.1,2.2,0.01,0,0.01,0.01,0,0.1,2.5,830,2006,2130,5
220,0.2,0.01,0.01,12.43,1.21,2.01,0.01,0,0.08,13.82,0,0.03,0,1038,1405.8,1854.1,20.1
221,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1430.3,1838.4,19.7
222,0.15,0.01,0.01,14.13,0.14,4.8,0.21,0,0.01,13.33,0,0.03,0,1038,1427.4,1921.8,15.4
