ID,Sample Index,Column,Row Index,Column Index,Component Index,Prediction,more extreme bagging estimators,Input,Standard Deviations
141_Mo,141,Mo,46,5,,2.578780890959047,0.0,1.0,3.1446870437220085
732_YS/MPa,732,YS/MPa,71,14,,1404.8325,0.0,1267.8,3.1127317
513_Mo,513,Mo,0,5,,2.562444482341955,0.0,1.19,3.0859767704362215
198_Co,198,Co,65,9,,7.174757796574146,0.0,0.01,3.0249871592683326
312_Ti,312,Ti,104,12,,0.0649,0.0,0.01,2.97985
151_Mo,151,Mo,48,5,,2.5258592962126665,0.0,1.21,2.9137119019388913
132_Mo,132,Mo,42,5,,2.5258592962126665,0.0,1.21,2.9137119019388913
617_YS/MPa,617,YS/MPa,35,14,,1343.8141,0.0,1178.2,2.7535489
15_C,15,C,5,0,,0.15768404,0.0,0.07,2.4509215
767_Mo,767,Mo,85,5,,2.33913695224147,0.0,3.08,2.387277952544368
253_Elong/%,253,Elong/%,84,16,,16.412827,0.0,12.0,2.1870813
752_Co,752,Co,79,9,,6.936048665844441,0.0,0.01,2.142583093766851
690_V,690,V,58,6,,0.54270273,0.0,1.15,1.7914621
215_Mo,215,Mo,69,5,,2.433774798416228,0.01,0.02,4.63044165578251
198_Nb,198,Nb,65,8,,0.24655001,0.01,2.5,4.34039
688_Nb,688,Nb,56,8,,0.081949994,0.01,0.78,4.208715
218_Mo,218,Mo,70,5,,2.502171209831913,0.01,0.02,4.189136646728025
569_Mo,569,Mo,23,5,,2.7699421198522227,0.01,5.1,3.948864889639277
32_Mo,32,Mo,12,5,,2.7853015560293777,0.01,5.1,3.8605311001493376
585_Mo,585,Mo,26,5,,2.750088670773227,0.01,5.0,3.826546995782958
27_N,27,N,10,7,,0.0056349994,0.01,0.02,3.4512634
263_Elong/%,263,Elong/%,91,16,,16.446064,0.01,8.9,3.320578
21_Mo,21,Mo,8,5,,3.5069912291360392,0.01,7.15,3.0697707327675032
226_Mn,226,Mn,74,1,,0.08860001,0.01,0.43,3.0070207
742_Co,742,Co,76,9,,6.463802478467297,0.01,2.02,2.9322623183381213
550_Elong/%,550,Elong/%,14,16,,16.90083,0.01,28.0,2.9090247
283_Nb,283,Nb,95,8,,0.0634,0.01,0.01,2.8384187
596_Mo,596,Mo,30,5,,3.178718818524014,0.01,6.3,2.815827517932454
742_Cr,742,Cr,76,3,,13.266819,0.01,17.12,2.7599976
21_Elong/%,21,Elong/%,8,16,,11.557196,0.01,4.0,2.745292
595_Mo,595,Mo,29,5,,3.1197745862323036,0.01,6.16,2.7134061150802173
160_V,160,V,51,6,,0.071244165,0.01,0.29,2.695383
27_UTS/MPa,27,UTS/MPa,10,15,,1864.2455,0.01,2129.0,2.6915748
249_Si,249,Si,81,2,,0.53395003,0.01,1.5,2.6886306
736_Mn,736,Mn,73,1,,0.7139001,0.01,2.8,2.661951
332_Elong/%,332,Elong/%,108,16,,17.700712,0.01,15.5,2.6611996
17_Al,17,Al,7,11,,0.04550000028684735,0.01,0.07,2.5439530155359344
829_YS/MPa,829,YS/MPa,105,14,,1183.1349,0.01,1102.4,2.5367434
25_Co,25,Co,9,9,,7.9387074299084865,0.01,11.74,2.5349594366448955
523_Elong/%,523,Elong/%,4,16,,12.929495,0.01,19.0,2.5264742
569_YS/MPa,569,YS/MPa,23,14,,1426.7297,0.01,1619.2,2.4695435
312_Elong/%,312,Elong/%,104,16,,15.574097,0.01,18.1,2.4138496
354_Ti,354,Ti,111,12,,0.048633333,0.01,0.09,2.3493888
212_Co,212,Co,68,9,,4.22600920145471,0.01,0.01,2.3378736960861963
215_Co,215,Co,69,9,,4.1667773253032685,0.01,0.01,2.3132608264268093
224_V,224,V,72,6,,0.060528588,0.01,0.21,2.2909148
132_Co,132,Co,42,9,,9.323785130201017,0.01,13.74,2.24058720334193
95_Ti,95,Ti,33,12,,1.4311999,0.01,2.25,2.0493803
6_UTS/MPa,6,UTS/MPa,1,15,,1945.2245,0.01,2135.9,1.9868982
528_Co,528,Co,6,9,,5.586712332379595,0.01,0.01,1.7542594271713676
227_Cr,227,Cr,75,3,,11.587965,0.01,14.09,1.6700649
696_V,696,V,61,6,,0.6791411,0.01,0.06,1.6601423
555_Mo,555,Mo,18,5,,2.7946730910712314,0.02,4.9,3.375239720699539
736_Mo,736,Mo,73,5,,2.2753564803837047,0.02,0.02,3.332115402171166
585_V,585,V,26,6,,0.059888367,0.02,0.43,2.9386196
227_C,227,C,75,0,,0.19136669,0.02,0.25,2.9092512
198_Mo,198,Mo,65,5,,2.7501619477379764,0.02,0.02,2.866183379833141
519_Mo,519,Mo,2,5,,2.5446241760006303,0.02,1.19,2.861809532289937
523_Mo,523,Mo,4,5,,2.5446241760006303,0.02,1.19,2.861809532289937
521_Mo,521,Mo,3,5,,2.5446241760006303,0.02,1.19,2.861809532289937
263_V,263,V,91,6,,0.05829836,0.02,0.34,2.8184156
160_Mo,160,Mo,51,5,,2.6924716910133655,0.02,1.3,2.7286686038429555
167_Mo,167,Mo,54,5,,2.6924716910133655,0.02,1.3,2.7286686038429555
752_Mn,752,Mn,79,1,,0.2609,0.02,1.0,2.7088854
764_Mo,764,Mo,83,5,,2.334326605799818,0.02,3.25,2.6889284088895513
693_Mo,693,Mo,59,5,,3.322373993354887,0.02,6.85,2.5265834538074503
742_Ti,742,Ti,76,12,,0.18713331,0.02,0.0,2.5166523
210_C,210,C,67,0,,0.012620555,0.02,0.03,2.4705193
550_YS/MPa,550,YS/MPa,14,14,,1179.6155,0.02,1068.0,2.3980467
557_Elong/%,557,Elong/%,19,16,,16.317516,0.02,9.6,2.3470287
21_UTS/MPa,21,UTS/MPa,8,15,,1975.9331,0.02,2197.9,2.1638117
770_Mo,770,Mo,86,5,,2.3509347007724215,0.02,3.05,2.1077042404615307
167_V,167,V,54,6,,0.08710828,0.02,0.29,1.9963791
752_Cr,752,Cr,79,3,,13.401377,0.02,17.5,1.988241
695_Co,695,Co,60,9,,8.741767975473243,0.02,4.83,1.7467420291795361
432_YS/MPa,432,YS/MPa,123,14,,1257.7878,0.02,1281.5,1.715464
688_Mn,688,Mn,56,1,,0.1096,0.02,0.23,1.4736345
630_Mo,630,Mo,38,5,,2.863119993829356,0.03,5.0,3.0324574301092078
620_Mo,620,Mo,36,5,,2.863119993829356,0.03,5.0,3.0324574301092078
652_Mo,652,Mo,45,5,,2.863119993829356,0.03,5.0,3.0324574301092078
651_Mo,651,Mo,44,5,,2.904800434899865,0.03,5.0,2.9374726200266785
617_Mo,617,Mo,35,5,,2.904800434899865,0.03,5.0,2.9374726200266785
795_YS/MPa,795,YS/MPa,96,14,,1251.6926,0.03,1200.2,2.7768245
27_Elong/%,27,Elong/%,10,16,,11.93931,0.03,18.7,2.53302
585_Ti,585,Ti,26,12,,0.5912333,0.03,0.2,2.524096
171_Mo,171,Mo,55,5,,2.690010820849196,0.03,1.3,2.5145486499180705
162_Mo,162,Mo,53,5,,2.7065181286302464,0.03,1.3,2.4911027707365916
161_Mo,161,Mo,52,5,,2.7152755819843724,0.03,1.3,2.482199200624128
141_Elong/%,141,Elong/%,46,16,,14.160659,0.03,10.0,2.1963596
40_Mo,40,Mo,15,5,,2.3468500704638346,0.03,3.13,2.1579547275974775
776_Co,776,Co,92,9,,2.962856653758469,0.03,0.01,2.0513472859746864
776_Mo,776,Mo,92,5,,2.3634581654364375,0.03,3.05,1.9392599783027924
132_UTS/MPa,132,UTS/MPa,42,15,,1676.5876,0.03,1502.0,1.931613
81_V,81,V,28,6,,0.18682241,0.03,0.69,1.8714625
198_V,198,V,65,6,,0.3786462,0.03,1.8,1.688963
557_Heat treatment/C,557,Heat treatment/C,19,13,,894.5,0.03,1149.0,1.4438446307983492
552_Mo,552,Mo,16,5,,2.7733040237041235,0.04,5.1,3.1443677087790456
248_V,248,V,80,6,,0.031094056,0.04,0.21,2.8132722
238_Co,238,Co,78,9,,14.606004345977235,0.04,17.06,2.791950209302055
207_Mn,207,Mn,66,1,,0.0145499995,0.04,0.03,2.6875665
224_Mo,224,Mo,72,5,,2.898263928689272,0.04,4.8,2.6514044672202197
605_Mo,605,Mo,32,5,,2.953135075034901,0.04,5.0,2.618024264870634
636_Mo,636,Mo,39,5,,2.953135075034901,0.04,5.0,2.618024264870634
639_Mo,639,Mo,40,5,,2.978399836170077,0.04,5.0,2.5726443887212653
210_Elong/%,210,Elong/%,67,16,,15.973187,0.04,12.8,2.3740299
557_Mo,557,Mo,19,5,,2.953645170086153,0.04,4.8,2.248702447746965
519_Elong/%,519,Elong/%,2,16,,12.912906,0.04,18.1,2.15336
540_YS/MPa,540,YS/MPa,11,14,,1125.93,0.04,1026.6,2.10198
446_Co,446,Co,124,9,,-0.44260314795495165,0.04,0.01,2.1019598233931682
293_Si,293,Si,99,2,,0.17144999,0.04,0.52,2.080158
460_Co,460,Co,128,9,,-0.44918144667077525,0.04,0.01,2.051278406124737
462_Co,462,Co,130,9,,-0.44918144667077525,0.04,0.01,2.051278406124737
461_Co,461,Co,129,9,,-0.44918144667077525,0.04,0.01,2.051278406124737
6_Co,6,Co,1,9,,8.101991033911744,0.04,11.41,2.027273640917524
262_Elong/%,262,Elong/%,90,16,,16.480999,0.04,20.4,2.01233
732_Co,732,Co,71,9,,9.263201609712176,0.04,14.8,1.9939887960952587
15_Elong/%,15,Elong/%,5,16,,13.154703,0.04,9.0,1.938016
92_Mo,92,Mo,31,5,,2.7521206476199147,0.04,3.95,1.9236153903559277
43_Co,43,Co,17,9,,3.2722512240091897,0.04,0.01,1.909504230283086
810_Elong/%,810,Elong/%,100,16,,16.574722,0.05,23.0,2.5145156
744_Mn,744,Mn,77,1,,0.47189996,0.05,2.09,2.4829085
260_V,260,V,88,6,,0.04042231,0.05,0.21,2.4143991
215_Elong/%,215,Elong/%,69,16,,16.32487,0.05,7.1,2.2432003
178_Mo,178,Mo,57,5,,2.6782752124773297,0.05,1.5,2.1158330865002815
307_Co,307,Co,102,9,,0.8494034699749001,0.05,0.01,2.0398095555373974
695_YS/MPa,695,YS/MPa,60,14,,1540.7756,0.05,1805.2,2.0098228
167_Ti,167,Ti,54,12,,0.014566667,0.05,0.03,1.964777
394_Ti,394,Ti,115,12,,0.051400002,0.05,0.09,1.9617653
70_Mo,70,Mo,25,5,,2.7361354782458305,0.05,3.9,1.9115534944991759
429_C,429,C,121,0,,0.030772865,0.05,0.04,1.8876678
696_C,696,C,61,0,,0.24221365,0.05,0.38,1.8327175
764_Co,764,Co,83,9,,1.9641072387989351,0.05,0.01,1.8136264528600277
43_Mo,43,Mo,17,5,,2.3509347007724215,0.05,2.95,1.8062013084042814
696_YS/MPa,696,YS/MPa,61,14,,1373.678,0.05,1564.0,1.6745962
207_Co,207,Co,66,9,,7.151783467790915,0.05,0.01,1.6398086503956701
92_UTS/MPa,92,UTS/MPa,31,15,,2177.151,0.05,2514.9,1.632509
823_Co,823,Co,103,9,,8.8559219896572,0.05,3.9,1.6114408782373486
53_Mo,53,Mo,20,5,,2.171079275340532,0.06,0.02,2.930676774865727
54_Mo,54,Mo,21,5,,2.1391967870749666,0.06,0.02,2.874137063061808
290_C,290,C,97,0,,0.187387,0.06,0.15,1.9476699
810_Co,810,Co,100,9,,1.97463308597493,0.06,0.01,1.9059716754944882
547_YS/MPa,547,YS/MPa,13,14,,1199.234,0.06,1123.1,1.8705497
651_YS/MPa,651,YS/MPa,44,14,,1262.0378,0.06,1391.8,1.8577871
25_Mo,25,Mo,9,5,,3.395997575343708,0.06,5.28,1.8462320111589565
690_YS/MPa,690,YS/MPa,58,14,,1560.0391,0.06,1819.0,1.8270961
550_Ti,550,Ti,14,12,,0.5065333,0.06,0.94,1.8238629
95_Elong/%,95,Elong/%,33,16,,7.553159,0.06,3.0,1.7957908
585_YS/MPa,585,YS/MPa,26,14,,1131.6066,0.06,1026.6,1.7949641
6_Mo,6,Mo,1,5,,3.4211707086331673,0.06,5.22,1.7810851286539324
160_Cr,160,Cr,51,3,,11.960682,0.06,9.1,1.7755301
521_W,521,W,3,10,,0.07099850931020218,0.06,0.0,1.75987696727301
696_Mo,696,Mo,61,5,,3.205712395905664,0.06,5.75,1.7133422994079999
171_UTS/MPa,171,UTS/MPa,55,15,,1883.3472,0.06,2032.6,1.674985
429_YS/MPa,429,YS/MPa,121,14,,1299.5216,0.06,1343.6,1.6529368
54_Co,54,Co,21,9,,4.641013102798453,0.06,0.01,1.6371540564708338
605_N,605,N,32,7,,0.006890001,0.06,0.0,1.5921161
15_Cr,15,Cr,5,3,,13.90287,0.06,15.54,1.5917957
770_Co,770,Co,86,9,,2.131193081769071,0.06,0.01,1.5743603927905576
81_Mo,81,Mo,28,5,,2.880743480579214,0.06,4.07,1.513174963857375
263_Si,263,Si,91,2,,0.26540002,0.06,0.56,1.4944432
162_V,162,V,53,6,,0.12909946,0.06,0.3,1.4199073
652_YS/MPa,652,YS/MPa,45,14,,1376.4764,0.07,1550.3,2.0916235
283_Mo,283,Mo,95,5,,2.7109922050997937,0.07,1.48,1.9513381787090716
17_Mo,17,Mo,7,5,,3.2998445349067436,0.07,5.15,1.836678366133692
744_YS/MPa,744,YS/MPa,77,14,,1133.4445,0.07,1028.7,1.8353705
167_Cr,167,Cr,54,3,,11.929543,0.07,9.1,1.7224083
690_Mo,690,Mo,58,5,,3.322373993354887,0.07,5.71,1.7100839517494266
146_Co,146,Co,47,9,,8.733619743896712,0.07,12.05,1.6559802383097608
354_Elong/%,354,Elong/%,111,16,,17.53843,0.07,19.0,1.6092556
429_Ti,429,Ti,121,12,,0.021166665,0.07,0.05,1.5978159
688_Co,688,Co,56,9,,7.32372495741619,0.07,4.99,1.5948366310715303
764_C,764,C,83,0,,0.0141201485,0.07,0.03,1.5118392
810_Mo,810,Mo,100,5,,2.3815285299401823,0.07,1.7,1.494252751075838
795_C,795,C,96,0,,0.011133495,0.07,0.0,1.1910299
193_Mo,193,Mo,63,5,,2.4445958733232818,0.08,1.44,2.0772571114355407
290_Co,290,Co,97,9,,12.145290295271082,0.08,13.76,1.8056424613521866
432_C,432,C,123,0,,0.0308975,0.08,0.04,1.746806
695_C,695,C,60,0,,0.2641437,0.08,0.4,1.7426188
130_W,130,W,41,10,,0.06749200563669491,0.08,0.0,1.6855413939982975
171_Co,171,Co,55,9,,14.452787516003161,0.08,12.5,1.6437299067901312
688_Mo,688,Mo,56,5,,3.384597072354269,0.08,5.71,1.6336793127163618
40_Co,40,Co,15,9,,2.963053006948386,0.08,0.01,1.6287564277341882
450_Co,450,Co,125,9,,-0.4304291592878082,0.08,0.01,1.6150715310270345
431_YS/MPa,431,YS/MPa,122,14,,1300.3075,0.08,1343.6,1.5295246
387_Elong/%,387,Elong/%,114,16,,17.360676,0.08,16.0,1.4668902
695_Mo,695,Mo,60,5,,3.3838545182456357,0.08,5.75,1.4545462545929202
431_C,431,C,122,0,,0.03331116,0.08,0.04,1.4492708
27_Mo,27,Mo,10,5,,3.1519579895645857,0.09,5.09,1.8461814838624933
218_Elong/%,218,Elong/%,70,16,,12.298982,0.09,8.0,1.8139445
617_Co,617,Co,35,9,,11.953973602808105,0.09,13.5,1.8132142388448547
823_YS/MPa,823,YS/MPa,103,14,,1312.419,0.09,1274.7,1.781063
569_W,569,W,23,10,,0.07220654533440729,0.09,0.0,1.6964623818261308
146_UTS/MPa,146,UTS/MPa,47,15,,1634.4634,0.09,1481.4,1.6876704
795_Co,795,Co,96,9,,1.3819209583634398,0.09,0.01,1.6492214340572602
519_W,519,W,2,10,,0.07142031550605953,0.09,0.0,1.5929535015849532
523_W,523,W,4,10,,0.07029898030853554,0.09,0.0,1.578350828932686
557_N,557,N,19,7,,0.003025,0.09,0.0,1.5383152
161_UTS/MPa,161,UTS/MPa,52,15,,1916.7792,0.09,2046.3,1.4858112
291_Nb,291,Nb,98,8,,0.063999996,0.09,0.1,1.459393
307_YS/MPa,307,YS/MPa,102,14,,1396.8274,0.09,1478.6,1.4459414
459_Ti,459,Ti,127,12,,0.032599997,0.09,0.01,1.422049
423_Co,423,Co,120,9,,-0.28853405776585456,0.09,0.01,1.361071435475181
412_Cr,412,Cr,116,3,,12.462757,0.09,12.35,0.80588305
415_Cr,415,Cr,118,3,,12.462757,0.09,12.35,0.80588305
413_Cr,413,Cr,117,3,,12.462757,0.09,12.35,0.80588305
160_Ti,160,Ti,51,12,,0.015833333,0.1,0.03,1.7852259
171_Ti,171,Ti,55,12,,0.016433334,0.1,0.03,1.777123
693_YS/MPa,693,YS/MPa,59,14,,1553.3501,0.1,1784.5,1.7288021
596_Mn,596,Mn,30,1,,0.22474998,0.1,0.59,1.6867532
293_N,293,N,99,7,,0.0064300005,0.1,0.0,1.5355248
17_V,17,V,7,6,,0.32096642,0.1,0.01,1.4732971
617_N,617,N,35,7,,0.00348,0.1,0.0,1.467349
210_Si,210,Si,67,2,,0.0722,0.1,0.01,1.3926947
815_Elong/%,815,Elong/%,101,16,,16.831667,0.1,15.0,1.3733288
432_N,432,N,123,7,,0.0015600002,0.1,0.0,1.3107858
462_N,462,N,130,7,,0.00155,0.1,0.0,1.3088211
460_N,460,N,128,7,,0.00155,0.1,0.0,1.3088211
461_N,461,N,129,7,,0.00155,0.1,0.0,1.3088211
462_YS/MPa,462,YS/MPa,130,14,,1258.0289,0.1,1274.7,1.1866509
461_YS/MPa,461,YS/MPa,129,14,,1258.0289,0.1,1274.7,1.1866509
460_YS/MPa,460,YS/MPa,128,14,,1258.0289,0.1,1274.7,1.1866509
332_Al,332,Al,108,11,,0.9952999871969223,0.11,0.77,2.413402291511701
307_Ti,307,Ti,102,12,,0.053566664,0.11,0.09,1.8045768
32_YS/MPa,32,YS/MPa,12,14,,1651.5139,0.11,1936.1,1.6917273
552_Ti,552,Ti,16,12,,0.49979997,0.11,0.78,1.6915513
162_Ti,162,Ti,53,12,,0.017199999,0.11,0.03,1.6626027
161_Ti,161,Ti,52,12,,0.017333332,0.11,0.03,1.6537377
210_Co,210,Co,67,9,,1.5189597451384884,0.11,0.01,1.6272766676192723
636_Elong/%,636,Elong/%,39,16,,13.5977955,0.11,18.7,1.6161681
595_C,595,C,29,0,,0.15107262,0.11,0.04,1.6135253
595_Si,595,Si,29,2,,0.12625,0.11,0.32,1.6006008
192_W,192,W,62,10,,0.07049874526015308,0.11,0.0,1.5454439376001026
207_W,207,W,66,10,,0.0716809773523005,0.11,0.0,1.5436545604418805
238_N,238,N,78,7,,0.0050450005,0.11,0.0,1.5287547
162_Co,162,Co,53,9,,14.202193791588197,0.11,12.5,1.4809984778982968
226_UTS/MPa,226,UTS/MPa,74,15,,1851.1246,0.11,1977.7,1.4622988
53_Co,53,Co,20,9,,3.9333225302586543,0.11,0.01,1.4591991223750234
283_N,283,N,95,7,,0.0050950004,0.11,0.0,1.3766011
521_Elong/%,521,Elong/%,3,16,,13.423065,0.11,16.4,1.3505092
339_Ti,339,Ti,109,12,,0.025866665,0.11,0.0,1.3112597
151_Elong/%,151,Elong/%,48,16,,14.645542,0.11,16.9,1.2994663
212_N,212,N,68,7,,0.0017699999,0.11,0.0,1.2833838
210_N,210,N,67,7,,0.0017649999,0.11,0.0,1.2830765
423_N,423,N,120,7,,0.0015799999,0.11,0.0,1.2555509
815_Cr,815,Cr,101,3,,8.592721,0.11,11.3,1.2493985
171_V,171,V,55,6,,0.14655095,0.11,0.3,1.1609805
161_V,161,V,52,6,,0.14660686,0.11,0.3,1.1523752
364_Co,364,Co,113,9,,-0.1747237943822399,0.11,0.01,1.1377215693149618
291_Ni,291,Ni,98,4,,1.230599995534867,0.11,2.48,0.8954104200308084
25_UTS/MPa,25,UTS/MPa,9,15,,1986.9229,0.12,2149.7,1.6936426
160_Elong/%,160,Elong/%,51,16,,16.223505,0.12,14.0,1.6599942
651_Co,651,Co,44,9,,12.280325746254576,0.12,13.5,1.6550718011505487
767_UTS/MPa,767,UTS/MPa,85,15,,1179.1101,0.12,1079.0,1.6471266
198_W,198,W,65,10,,0.08057934498189642,0.12,0.0,1.632847094134225
15_Mo,15,Mo,5,5,,3.3135729534853335,0.12,4.99,1.5538360394077657
651_Elong/%,651,Elong/%,44,16,,14.216291,0.12,10.0,1.5447811
263_N,263,N,91,7,,0.00579,0.12,0.0,1.472044
15_UTS/MPa,15,UTS/MPa,5,15,,1768.4371,0.12,1963.7,1.467006
109_Co,109,Co,37,9,,0.9229933183025443,0.12,0.01,1.4588118133881607
566_UTS/MPa,566,UTS/MPa,22,15,,1347.0266,0.12,1198.9,1.4439759
92_YS/MPa,92,YS/MPa,31,14,,2097.6418,0.12,2487.3,1.3823751
841_Ti,841,Ti,107,12,,0.2251333,0.12,0.01,1.3779187
841_W,841,W,107,10,,0.10385146672615525,0.12,0.0,1.3696400778361921
153_Mn,153,Mn,49,1,,0.1276,0.12,0.06,1.3524761
432_Co,432,Co,123,9,,-0.33968774143877034,0.12,0.01,1.333803815476961
446_N,446,N,124,7,,0.00171,0.12,0.0,1.2552171
387_YS/MPa,387,YS/MPa,114,14,,1254.2526,0.12,1233.3,1.2549324
312_C,312,C,104,0,,0.037655666,0.12,0.03,1.1419506
555_V,555,V,18,6,,0.16736366,0.12,0.39,0.9120289
263_YS/MPa,263,YS/MPa,91,14,,1360.6959,0.13,1259.6,1.5304418
160_N,160,N,51,7,,0.004715,0.13,0.0,1.5232459
92_Co,92,Co,31,9,,11.086388379507815,0.13,15.0,1.4735716884562278
446_YS/MPa,446,YS/MPa,124,14,,1264.7778,0.13,1288.4,1.445322
283_YS/MPa,283,YS/MPa,95,14,,1346.112,0.13,1247.8,1.4404933
259_N,259,N,87,7,,0.0053250003,0.13,0.0,1.4343842
307_W,307,W,102,10,,0.06669328082568614,0.13,0.0,1.4286839352973622
736_Co,736,Co,73,9,,3.9542490220325868,0.13,0.01,1.4133922961800895
17_UTS/MPa,17,UTS/MPa,7,15,,1947.1401,0.13,2067.0,1.4049925
95_Co,95,Co,33,9,,9.060380476864772,0.13,13.0,1.3960187457907014
290_Mo,290,Mo,97,5,,2.7511473539643765,0.13,1.99,1.393016880713368
429_N,429,N,121,7,,0.00191,0.13,0.0,1.3399303
141_Co,141,Co,46,9,,12.13274404804614,0.13,13.88,1.3347676523178245
651_W,651,W,44,10,,0.06876013073760696,0.13,0.0,1.334738606000892
215_UTS/MPa,215,UTS/MPa,69,15,,1297.6073,0.13,1143.0,1.318209
432_UTS/MPa,432,UTS/MPa,123,15,,1328.956,0.13,1295.3,1.2922882
154_Mn,154,Mn,50,1,,0.12439999,0.13,0.06,1.264779
154_W,154,W,50,10,,0.06256335701454344,0.13,0.0,1.207737621166048
339_N,339,N,109,7,,0.00183,0.13,0.0,1.1834562
417_N,417,N,119,7,,0.001655,0.13,0.0,1.1648937
412_N,412,N,116,7,,0.0016999999,0.13,0.0,1.1634561
415_N,415,N,118,7,,0.0016999999,0.13,0.0,1.1634561
413_N,413,N,117,7,,0.0016999999,0.13,0.0,1.1634561
345_N,345,N,110,7,,0.0017949999,0.13,0.0,1.1549499
249_W,249,W,81,10,,0.05712882010547674,0.13,0.0,1.1429345481006816
450_N,450,N,125,7,,0.00164,0.13,0.0,1.0663298
95_C,95,C,33,0,,0.01668618,0.13,0.0,0.6386852
